"SUID","COMMON","gal1RGexp","gal1RGsig","gal4RGexp","gal4RGsig","gal80Rexp","gal80Rsig","name","selected","shared name"
"649","MPT1","0.218","5.0658E-5","-0.419","1.2336E-4","0.571","9.5685E-5","YMR005W","false","YMR005W"
"651","YER124C","0.179","1.8529E-4","0.126","0.014038","-0.022","0.76846","YER124C","false","YER124C"
"658","RPL11B","-0.188","2.639E-4","-0.425","7.4028E-7","-0.084","0.1613","YGR085C","false","YGR085C"
"660","SXM1","-0.119","0.021972","0.086","0.5176","-0.214","0.40913","YDR395W","false","YDR395W"
"663","CTT1","-0.91","1.6823E-10","0.596","1.9828E-4","-0.394","3.0726E-6","YGR088W","false","YGR088W"
"665","SER3","-0.568","2.5284E-10","-0.423","3.0368E-5","0.109","0.094304","YER081W","false","YER081W"
"667","PIS1","-0.495","1.0456E-9","0.025","0.54593","-0.89","5.6202E-18","YPR113W","false","YPR113W"
"669","MAM33","0.033","0.68369","0.146","0.0033116","-0.339","9.0003E-6","YIL070C","false","YIL070C"
"673","ACS2","-0.042","0.24703","-0.014","0.78003","-0.172","0.011567","YLR153C","false","YLR153C"
"675","YGR046W","0.158","0.0020954","0.177","5.1497E-4","0.124","0.10073","YGR046W","false","YGR046W"
"677","YNL164C","0.272","7.3947E-4","-0.949","3.8499E-5","1.345","5.7872E-6","YNL164C","false","YNL164C"
"684","YDR070C","-0.915","4.6513E-11","0.671","1.488E-4","-0.089","0.1936","YDR070C","false","YDR070C"
"687","STE4","-0.189","4.187E-5","-0.256","0.0010135","-0.158","0.023184","YOR212W","false","YOR212W"
"689","NCE103","0.998","4.2628E-11","0.506","1.601E-8","0.686","3.3349E-7","YNL036W","false","YNL036W"
"691","YML114C","0.226","4.5247E-4","-0.145","0.12134","0.385","0.0058304","YML114C","false","YML114C"
"693","SPC24","0.093","0.41398","0.371","5.0622E-5","-0.296","0.35411","YMR117C","false","YMR117C"
"695","RPA135","-0.129","0.0032078","-0.394","5.8663E-5","-0.359","0.0061199","YPR010C","false","YPR010C"
"697","YOR215C","0.151","7.0779E-4","0.137","0.010881","0.335","1.273E-4","YOR215C","false","YOR215C"
"703","ASM4","0.069","0.091906","-0.074","0.32752","0.124","0.081403","YDL088C","false","YDL088C"
"705","SIK1","0.02","0.70174","-0.521","1.0814E-5","0.49","3.3814E-8","YLR197W","false","YLR197W"
"708","ARO8","-0.305","4.2677E-7","-0.286","4.2373E-5","-0.536","3.8938E-13","YGL202W","false","YGL202W"
"709","SMD1","-0.074","0.11939","-0.133","0.08221","0.029","0.80755","YGR074W","false","YGR074W"
"712","NPL4","0.128","0.0078298","-0.134","0.13454","0.429","0.0016184","YBR170C","false","YBR170C"
"716","YDL023C","-0.712","4.5602E-11","0.497","1.8858E-5","-0.406","1.7119E-8","YDL023C","false","YDL023C"
"718","YGR136W","-0.167","2.4958E-4","-0.163","0.0042386","-0.204","0.0020376","YGR136W","false","YGR136W"
"721","CMK1","0.229","1.1443E-5","0.304","8.1743E-6","0.047","0.64057","YFR014C","false","YFR014C"
"723","RPL31A","-0.218","0.0041386","-0.451","1.5697E-6","0.056","0.38208","YDL075W","false","YDL075W"
"726","RPL16B","-0.346","2.6481E-7","-0.284","5.1994E-5","-0.124","0.026888","YNL069C","false","YNL069C"
"728",,,,,,,,"YER056CA","false","YER056CA"
"730","RPL34B","-0.258","3.7855E-5","-0.451","3.4652E-7","-0.025","0.66627","YIL052C","false","YIL052C"
"734","YLR345W","0.108","0.012373","0.234","7.892E-5","0.116","0.073789","YLR345W","false","YLR345W"
"736","NUP170","-0.186","2.5668E-4","-0.032","0.45723","-0.42","2.9469E-9","YBL079W","false","YBL079W"
"738","GIP1","0.786","5.5911E-6","1.022","1.2945E-5","0.94","0.016389","YBR045C","false","YBR045C"
"741","GIP2","0.057","0.16958","0.206","6.2032E-4","0.247","0.0043603","YER054C","false","YER054C"
"744","ASN1","-0.195","3.174E-5","-0.614","1.1525E-7","-0.232","0.0011873","YPR145W","false","YPR145W"
"748","YBR043C","0.454","5.373E-8","0.023","0.94178","0.0","0.999999","YBR043C","false","YBR043C"
"750","MTH1","0.243","2.186E-5","0.192","0.028044","0.448","5.727E-4","YDR277C","false","YDR277C"
"752","SNF3","0.139","0.018043","0.333","0.033961","0.449","0.011348","YDL194W","false","YDL194W"
